OP,Packet,Bandwidth
all_gather_perf,0,0.00
all_gather_perf,0,0.00
all_gather_perf,32,0.00
all_gather_perf,64,0.00
all_gather_perf,128,0.00
all_gather_perf,256,0.00
all_gather_perf,512,0.01
all_gather_perf,1024,0.02
all_gather_perf,2048,0.04
all_gather_perf,4096,0.07
all_gather_perf,8192,0.14
all_gather_perf,16384,0.28
all_gather_perf,32768,0.43
all_gather_perf,65536,0.91
all_gather_perf,131072,1.73
all_gather_perf,262144,3.11
all_gather_perf,524288,5.25
all_gather_perf,1048576,7.87
all_gather_perf,2097152,16.08
all_gather_perf,4194304,26.03
all_gather_perf,8388608,34.78
all_gather_perf,16777216,41.91
all_gather_perf,33554432,51.71
all_gather_perf,67108864,58.04
all_gather_perf,134217728,63.18
all_gather_perf,268435456,63.04
all_gather_perf,536870912,62.82
all_gather_perf,1073741824,62.91
all_reduce_perf,8,0.00
all_reduce_perf,16,0.00
all_reduce_perf,32,0.00
all_reduce_perf,64,0.00
all_reduce_perf,128,0.00
all_reduce_perf,256,0.01
all_reduce_perf,512,0.02
all_reduce_perf,1024,0.04
all_reduce_perf,2048,0.08
all_reduce_perf,4096,0.14
all_reduce_perf,8192,0.29
all_reduce_perf,16384,0.53
all_reduce_perf,32768,0.80
all_reduce_perf,65536,1.70
all_reduce_perf,131072,3.09
all_reduce_perf,262144,5.48
all_reduce_perf,524288,10.47
all_reduce_perf,1048576,17.65
all_reduce_perf,2097152,27.29
all_reduce_perf,4194304,37.66
all_reduce_perf,8388608,45.75
all_reduce_perf,16777216,53.29
all_reduce_perf,33554432,57.93
all_reduce_perf,67108864,61.39
all_reduce_perf,134217728,64.11
all_reduce_perf,268435456,62.51
all_reduce_perf,536870912,62.67
all_reduce_perf,1073741824,62.44
broadcast_perf,8,0.00
broadcast_perf,16,0.00
broadcast_perf,32,0.00
broadcast_perf,64,0.00
broadcast_perf,128,0.00
broadcast_perf,256,0.01
broadcast_perf,512,0.01
broadcast_perf,1024,0.02
broadcast_perf,2048,0.04
broadcast_perf,4096,0.08
broadcast_perf,8192,0.17
broadcast_perf,16384,0.34
broadcast_perf,32768,0.67
broadcast_perf,65536,1.32
broadcast_perf,131072,2.50
broadcast_perf,262144,3.78
broadcast_perf,524288,5.34
broadcast_perf,1048576,7.03
broadcast_perf,2097152,8.83
broadcast_perf,4194304,10.39
broadcast_perf,8388608,16.80
broadcast_perf,16777216,25.27
broadcast_perf,33554432,33.90
broadcast_perf,67108864,42.23
broadcast_perf,134217728,48.04
broadcast_perf,268435456,51.50
broadcast_perf,536870912,53.36
broadcast_perf,1073741824,54.49
reduce_perf,8,0.00
reduce_perf,16,0.00
reduce_perf,32,0.00
reduce_perf,64,0.00
reduce_perf,128,0.00
reduce_perf,256,0.01
reduce_perf,512,0.01
reduce_perf,1024,0.02
reduce_perf,2048,0.05
reduce_perf,4096,0.09
reduce_perf,8192,0.18
reduce_perf,16384,0.34
reduce_perf,32768,0.68
reduce_perf,65536,1.32
reduce_perf,131072,2.21
reduce_perf,262144,3.80
reduce_perf,524288,5.14
reduce_perf,1048576,6.44
reduce_perf,2097152,7.51
reduce_perf,4194304,8.33
reduce_perf,8388608,13.57
reduce_perf,16777216,21.31
reduce_perf,33554432,29.24
reduce_perf,67108864,36.84
reduce_perf,134217728,42.75
reduce_perf,268435456,47.02
reduce_perf,536870912,49.38
reduce_perf,1073741824,51.57
reduce_scatter_perf,0,0.00
reduce_scatter_perf,0,0.00
reduce_scatter_perf,32,0.00
reduce_scatter_perf,64,0.00
reduce_scatter_perf,128,0.00
reduce_scatter_perf,256,0.00
reduce_scatter_perf,512,0.01
reduce_scatter_perf,1024,0.02
reduce_scatter_perf,2048,0.04
reduce_scatter_perf,4096,0.07
reduce_scatter_perf,8192,0.15
reduce_scatter_perf,16384,0.29
reduce_scatter_perf,32768,0.43
reduce_scatter_perf,65536,0.88
reduce_scatter_perf,131072,1.62
reduce_scatter_perf,262144,2.88
reduce_scatter_perf,524288,4.76
reduce_scatter_perf,1048576,6.42
reduce_scatter_perf,2097152,16.30
reduce_scatter_perf,4194304,25.90
reduce_scatter_perf,8388608,37.15
reduce_scatter_perf,16777216,44.42
reduce_scatter_perf,33554432,50.03
reduce_scatter_perf,67108864,52.48
reduce_scatter_perf,134217728,54.73
reduce_scatter_perf,268435456,55.44
reduce_scatter_perf,536870912,55.72
reduce_scatter_perf,1073741824,55.38
